material,d_true,d_hat,err,oxide_hat,oxide_true,sd_nm,n_modes
graphene,19.77125,24.9749,5.20364,88.935,90.0,0.64909,1
graphene,71.81638,69.15696,-2.65942,90.745,90.0,0.66792,2
graphene,12.55162,15.63811,3.08649,89.215,90.0,0.10264,1
graphene,0.89712,1.10346,0.20634,90.317,90.0,0.01705,1
graphene,70.43012,67.88642,-2.5437,91.052,90.0,0.47455,2
graphene,1.35909,1.65278,0.29369,90.722,90.0,0.01796,1
graphene,7.76409,9.51521,1.75112,90.605,90.0,0.22571,1
graphene,0.4161,0.51777,0.10166,88.807,90.0,0.01026,1
graphene,54.95671,49.03992,-5.91678,95.748,90.0,4.8171,1
graphene,0.70412,0.84863,0.14452,89.829,90.0,0.01057,1
graphene,51.52801,47.9403,-3.58772,94.467,90.0,5.246,1
graphene,5.93481,7.1607,1.22589,90.667,90.0,1.35902,1
graphene,1.73864,2.11155,0.37291,90.305,90.0,0.02361,1
graphene,73.19803,70.36397,-2.83407,90.393,90.0,0.65533,2
graphene,0.45659,0.55868,0.10209,90.722,90.0,0.00899,1
graphene,55.14424,49.81957,-5.32466,95.701,90.0,7.46154,1
graphene,64.15086,62.04772,-2.10314,92.561,90.0,0.80786,2
graphene,0.93296,1.14921,0.21624,90.421,90.0,0.01365,1
graphene,56.98945,49.29725,-7.69219,95.178,90.0,3.59976,1
graphene,3.86189,4.675,0.81311,90.407,90.0,0.05715,2
graphene,16.43375,20.03791,3.60416,90.75,90.0,0.16922,1
graphene,0.89576,1.10056,0.2048,90.34,90.0,0.01431,1
graphene,76.87745,73.28211,-3.59535,89.739,90.0,0.60374,2
graphene,1.55139,1.85929,0.30789,90.21,90.0,0.02315,1
graphene,0.79837,0.98705,0.18868,89.696,90.0,0.0128,1
graphene,0.59551,0.73536,0.13985,89.949,90.0,0.01113,1
graphene,0.36459,0.44562,0.08103,90.849,90.0,0.01115,1
graphene,11.9918,14.52208,2.53028,90.986,90.0,0.12821,1
graphene,10.38424,12.46393,2.07969,91.264,90.0,0.19101,1
graphene,1.46604,1.75664,0.29059,90.06,90.0,0.02398,1
graphene,115.15879,28.18299,-86.9758,100.298,90.0,0.23606,2
graphene,1.44174,1.74246,0.30072,90.21,90.0,0.02372,1
graphene,60.36524,56.26001,-4.10523,93.69,90.0,0.91426,2
graphene,28.5036,38.0883,9.5847,88.321,90.0,2.348,1
graphene,119.07808,70.61128,-48.4668,82.563,90.0,0.59937,2
graphene,1.6997,2.07307,0.37337,90.3,90.0,0.02493,1
graphene,1.22601,1.50908,0.28307,90.038,90.0,0.02028,1
graphene,47.34894,47.77458,0.42564,93.592,90.0,6.35177,1
graphene,16.96674,20.68694,3.7202,90.919,90.0,0.21667,1
graphene,0.93006,1.1234,0.19334,90.717,90.0,0.01332,1
graphene,1.47021,1.78283,0.31262,90.899,90.0,0.01645,1
graphene,24.49365,30.89456,6.40091,89.464,90.0,0.27475,2
graphene,19.15206,23.80382,4.65176,89.384,90.0,0.19238,1
graphene,59.90414,55.9126,-3.99155,93.601,90.0,0.93463,2
graphene,0.97455,1.2167,0.24214,90.482,90.0,0.01739,1
graphene,87.92009,77.24058,-10.67951,86.449,90.0,0.63282,2
graphene,3.31576,9.63859,6.32283,77.062,90.0,0.08128,2
graphene,2.72634,3.39306,0.66673,89.852,90.0,0.03642,2
graphene,1.3654,1.675,0.3096,90.486,90.0,0.02144,1
graphene,9.33519,11.37416,2.03897,90.52,90.0,0.18095,2
graphene,1.87698,2.2553,0.37832,90.121,90.0,0.02381,1
graphene,1.7963,2.23397,0.43767,90.41,90.0,0.02944,1
graphene,9.77732,12.48582,2.70849,88.177,90.0,0.40956,1
graphene,66.80676,63.93912,-2.86764,92.144,90.0,0.67451,2
graphene,0.5542,0.67614,0.12194,90.346,90.0,0.01279,1
graphene,85.3459,29.32445,-56.02145,107.352,90.0,0.09254,2
graphene,0.61345,0.74175,0.1283,90.145,90.0,0.00999,1
graphene,28.92798,47.62561,18.69763,83.679,90.0,3.56178,1
graphene,117.8878,70.85255,-47.03526,82.534,90.0,0.51326,2
graphene,30.18627,42.09371,11.90744,87.595,90.0,1.58443,1
graphene,21.75705,27.84683,6.08979,88.398,90.0,0.78497,2
graphene,10.19366,12.82422,2.63055,88.875,90.0,0.30983,2
graphene,11.4211,13.92215,2.50105,90.292,90.0,0.13266,1
graphene,0.39265,0.47327,0.08062,90.057,90.0,0.01042,1
graphene,84.18286,29.57982,-54.60305,107.152,90.0,0.09068,2
graphene,8.58852,10.47736,1.88883,90.211,90.0,0.55997,1
graphene,12.13615,14.97236,2.83621,89.502,90.0,0.13508,1
graphene,17.18233,21.28143,4.0991,89.548,90.0,0.1918,1
graphene,2.12347,2.60417,0.4807,90.244,90.0,0.02563,1
graphene,85.79106,29.11046,-56.6806,107.115,90.0,0.09593,2
graphene,3.62117,4.32406,0.70289,90.241,90.0,0.04448,2
graphene,1.61543,1.97523,0.35979,90.18,90.0,0.02676,1
graphene,10.63486,13.1753,2.54044,89.214,90.0,0.13122,1
graphene,5.99135,7.52517,1.53382,89.45,90.0,0.41205,1
graphene,94.31474,27.48594,-66.82879,104.681,90.0,0.16895,2
graphene,16.45081,20.05468,3.60387,90.393,90.0,0.15212,1
graphene,55.50649,48.7016,-6.80489,95.103,90.0,4.00967,1
graphene,71.49617,69.07676,-2.41941,90.759,90.0,0.49827,2
graphene,1.54195,1.90612,0.36418,90.28,90.0,0.022,1
graphene,4.67892,6.43316,1.75425,89.474,90.0,0.7612,1
