material,d_true,d_hat,err,oxide_hat,oxide_true,sd_nm,n_modes
mos2,2.78267,2.74531,-0.03737,284.963,285.0,0.10804,1
mos2,5.91522,6.04003,0.12482,282.402,285.0,0.12569,1
mos2,0.8888,0.87752,-0.01127,285.336,285.0,0.03723,1
mos2,1.00194,1.06144,0.0595,283.895,285.0,0.04896,1
mos2,8.6228,8.68915,0.06635,285.466,285.0,0.18178,2
mos2,19.03251,28.2423,9.20979,280.494,285.0,1.46123,2
mos2,2.61467,2.55753,-0.05714,284.983,285.0,0.10892,1
mos2,0.68362,0.65397,-0.02965,285.42,285.0,0.01639,1
mos2,16.78061,17.90483,1.12422,282.591,285.0,0.90391,2
mos2,2.08194,1.8744,-0.20754,289.333,285.0,0.08119,1
mos2,0.97322,0.98863,0.0154,284.945,285.0,0.03637,1
mos2,66.68045,68.09135,1.4109,285.499,285.0,2.28298,2
mos2,1.70415,1.78526,0.08111,282.724,285.0,0.08269,1
mos2,3.23263,3.26723,0.0346,284.423,285.0,0.09481,1
mos2,12.81103,12.80964,-0.00138,284.897,285.0,0.26031,3
mos2,111.26499,106.92609,-4.3389,284.467,285.0,3.24606,4
mos2,0.84361,0.85587,0.01226,284.808,285.0,0.03607,1
mos2,3.43166,3.393,-0.03866,283.871,285.0,0.08335,1
mos2,114.34654,79.86964,-34.47691,286.831,285.0,1.61058,3
mos2,19.65949,27.33585,7.67636,281.282,285.0,1.56464,2
mos2,2.03573,1.92407,-0.11166,287.923,285.0,0.09199,1
mos2,38.34553,38.22659,-0.11894,285.037,285.0,1.15988,2
mos2,1.30364,1.38924,0.0856,283.35,285.0,0.08677,1
mos2,60.91245,61.45102,0.53857,284.714,285.0,1.24811,2
mos2,104.70577,84.74837,-19.9574,287.499,285.0,2.56822,4
mos2,68.25746,66.23762,-2.01984,282.986,285.0,1.32888,4
mos2,3.41811,3.4148,-0.00331,285.483,285.0,0.08309,1
mos2,3.50082,3.52501,0.02419,282.525,285.0,0.09555,1
mos2,99.76023,92.70897,-7.05126,285.652,285.0,9.24782,3
mos2,4.43509,4.3975,-0.03759,284.429,285.0,0.05458,1
mos2,3.52173,3.60411,0.08238,282.193,285.0,0.12609,1
mos2,13.54921,13.46276,-0.08645,284.874,285.0,0.28511,3
mos2,2.89696,3.00551,0.10855,284.995,285.0,0.113,1
mos2,4.42888,4.44767,0.01879,287.891,285.0,0.04881,1
mos2,18.80984,18.01779,-0.79204,284.462,285.0,0.91176,2
mos2,4.8166,4.96736,0.15076,283.171,285.0,0.14792,1
mos2,81.24089,81.07245,-0.16844,286.897,285.0,2.4595,3
mos2,19.5606,28.01107,8.45048,280.49,285.0,1.48389,2
mos2,31.47859,31.30079,-0.1778,284.432,285.0,1.26819,1
mos2,5.15429,4.99509,-0.1592,288.166,285.0,0.07764,1
mos2,0.89971,0.8415,-0.05822,286.226,285.0,0.01913,1
mos2,10.13787,10.03406,-0.10381,284.312,285.0,0.17695,3
mos2,1.90359,1.85083,-0.05276,286.374,285.0,0.09477,1
